,Name of the journal,Number of publication,ISSN
231,Journal of Controlled Release,2,['01683659']
232,Polymer - Plastics Technology and Engineering,2,['03602559']
233,"Journal of Food, Agriculture and Environment",2,['14590255']
234,Food Chemistry,2,['03088146']
235,Soil Science and Plant Nutrition,2,['00380768']
236,Materials Chemistry and Physics,2,['02540584']
237,Polymer Science - Series D,2,['19954212']
238,Desalination and Water Treatment,2,['19443994']
239,Engineering in Life Sciences,2,['16180240']
240,Applied Environmental Biotechnology,2,['23826436']
241,International Journal of Environmental Research,1,['17356865']
242,International Journal of ChemTech Research,1,['09744290']
243,International Journal of Polymeric Materials and Polymeric Biomaterials,1,['00914037']
244,"American Chemical Society, Polymer Preprints, Division of Polymer Chemistry",1,['00323934']
245,Journal of Solid Waste Technology and Management,1,['10881697']
246,Indian Journal of Environmental Protection,1,['02537141']
247,Fresenius Environmental Bulletin,1,['10184619']
248,Pollution Research,1,['02578050']
